Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV1,256,4562314,1.09399e+09,24.4999,22.395,6.23457e+07,3228.82,32,4.77374,49,9,590,294,1,1,150528,9408,1.02173e+08,111776448,2816.18,282.624,4,126.019,111776448, 21772947, 21772947, 150528, 5.13373, 111776448, 6321, 6321, 9408, 17683.3, 111776448, 111776448, 3041536, 760384, 1, 1, 10, 1, 1, 1, 1, 6, 6, 6, 3, 5.25
Resnet50,CONV2_1_1,256,401411,3.1678e+08,31.9998,101.016,5.77324e+07,3002.72,32,63.0003,128,9,258,6,1,1,200704,4096,4.05488e+07,12845056,2816.18,56.5248,4,126.019,12845056, 12640384, 12640384, 200704, 1.01619, 12845056, 4033, 4033, 4096, 3184.99, 12845056, 12845056, 200704, 200704, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 64, 1.01587
Resnet50,CONV2_1_2,256,1161235,1.33109e+09,92.5699,69.5442,5.77324e+07,3002.72,32,196.003,1152,9,2306,54,1,1,200704,36864,8.07572e+07,107495424,2816.18,56.5248,4,126.019,107495424, 36542592, 36542592, 200704, 2.94165, 107495424, 36297, 36297, 36864, 2961.55, 107495424, 107495424, 186624, 186624, 1, 6, 36, 6, 1, 1, 1, 1, 1, 1, 64, 3.04762
Resnet50,CONV2_1_3,256,1605635,1.25699e+09,31.9999,25.4577,5.77324e+07,3002.72,32,63.0001,128,9,258,6,1,1,200704,16384,4.08757e+07,51380224,2816.18,56.5248,4,126.019,51380224, 50561344, 50561344, 200704, 1.0162, 51380224, 16129, 16129, 16384, 3185.58, 51380224, 51380224, 802816, 802816, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 64, 1.01587
Resnet50,CONV2_1_Residual,256,25097,4.66236e+07,31.9885,686.101,5.77324e+07,3002.72,32,256.082,512,9,1536,6,1,1,802816,256,1.72191e+07,802816,2816.18,56.5248,4,126.019,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV2_2_1,256,1605641,1.27172e+09,31.9998,25.1627,5.77324e+07,3002.72,32,256.001,512,9,1026,6,1,1,802816,16384,4.04023e+07,51380224,2816.18,56.5248,4,126.019,51380224, 51364096, 51364096, 802816, 1.00031, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 200704, 1, 8, 16, 8, 1, 1, 1, 1, 1, 1, 256, 1
Resnet50,CONV2_2_2,256,1161235,1.33109e+09,92.5699,69.5442,5.77324e+07,3002.72,32,196.003,1152,9,2306,54,1,1,200704,36864,8.07572e+07,107495424,2816.18,56.5248,4,126.019,107495424, 36542592, 36542592, 200704, 2.94165, 107495424, 36297, 36297, 36864, 2961.55, 107495424, 107495424, 186624, 186624, 1, 6, 36, 6, 1, 1, 1, 1, 1, 1, 64, 3.04762
Resnet50,CONV2_2_3,256,1605635,1.25699e+09,31.9999,25.4577,5.77324e+07,3002.72,32,63.0001,128,9,258,6,1,1,200704,16384,4.08757e+07,51380224,2816.18,56.5248,4,126.019,51380224, 50561344, 50561344, 200704, 1.0162, 51380224, 16129, 16129, 16384, 3185.58, 51380224, 51380224, 802816, 802816, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 64, 1.01587
Resnet50,CONV2_2_Residual,256,25097,4.66236e+07,31.9885,686.101,5.77324e+07,3002.72,32,256.082,512,9,1536,6,1,1,802816,256,1.72191e+07,802816,2816.18,56.5248,4,126.019,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV2_3_1,256,1605641,1.27172e+09,31.9998,25.1627,5.77324e+07,3002.72,32,256.001,512,9,1026,6,1,1,802816,16384,4.04023e+07,51380224,2816.18,56.5248,4,126.019,51380224, 51364096, 51364096, 802816, 1.00031, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 200704, 1, 8, 16, 8, 1, 1, 1, 1, 1, 1, 256, 1
Resnet50,CONV2_3_2,256,1161235,1.33109e+09,92.5699,69.5442,5.77324e+07,3002.72,32,196.003,1152,9,2306,54,1,1,200704,36864,8.07572e+07,107495424,2816.18,56.5248,4,126.019,107495424, 36542592, 36542592, 200704, 2.94165, 107495424, 36297, 36297, 36864, 2961.55, 107495424, 107495424, 186624, 186624, 1, 6, 36, 6, 1, 1, 1, 1, 1, 1, 64, 3.04762
Resnet50,CONV2_3_3,256,1605635,1.25699e+09,31.9999,25.4577,5.77324e+07,3002.72,32,63.0001,128,9,258,6,1,1,200704,16384,4.08757e+07,51380224,2816.18,56.5248,4,126.019,51380224, 50561344, 50561344, 200704, 1.0162, 51380224, 16129, 16129, 16384, 3185.58, 51380224, 51380224, 802816, 802816, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 64, 1.01587
Resnet50,CONV2_3_Residual,256,25097,4.66236e+07,31.9885,686.101,5.77324e+07,3002.72,32,256.082,512,9,1536,6,1,1,802816,256,1.72191e+07,802816,2816.18,56.5248,4,126.019,802816, 802816, 802816, 802816, 1, 802816, 256, 256, 256, 3136, 802816, 802816, 802816, 802816, 1, 8, 16, 8, 8, 8, 8, 1, 1, 1, 256, 1
Resnet50,CONV3_1_1,256,802825,6.43027e+08,31.9996,49.7641,5.77324e+07,3002.72,32,256.003,512,9,1026,6,1,1,802816,32768,3.99518e+07,25690112,2816.18,56.5248,4,126.019,25690112, 25657600, 25657600, 802816, 1.00127, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 401408, 100352, 1, 8, 16, 8, 1, 1, 1, 1, 1, 1, 256, 1
Resnet50,CONV3_1_2,256,1118245,1.2624e+09,89.1399,70.6117,5.77324e+07,3002.72,32,410.321,2304,9,4610,54,1,1,100352,147456,7.89612e+07,99680256,2816.18,56.5248,4,126.019,99680256, 35357952, 35357952, 100352, 2.81918, 99680256, 146313, 146313, 147456, 681.281, 99680256, 99680256, 86528, 86528, 1, 12, 72, 12, 1, 1, 1, 1, 1, 1, 128, 3.02362
Resnet50,CONV3_1_3,256,1605637,1.25674e+09,31.9999,25.4627,5.77324e+07,3002.72,32,127,256,9,514,6,1,1,100352,65536,4.08838e+07,51380224,2816.18,56.5248,4,126.019,51380224, 50913920, 50913920, 100352, 1.00916, 51380224, 65025, 65025, 65536, 790.161, 51380224, 51380224, 401408, 401408, 1, 4, 8, 4, 1, 1, 1, 1, 1, 1, 128, 1.00787
Resnet50,CONV3_1_Residual,256,18825,2.7002e+07,21.3231,789.688,5.77324e+07,3002.72,32,384.163,512,9,1536,6,1,1,401408,512,1.48659e+07,401408,2816.18,56.5248,4,126.019,401408, 401408, 401408, 401408, 1, 401408, 200960, 200960, 512, 1.99745, 401408, 401408, 401408, 401408, 1, 8, 16, 12, 8, 8, 8, 1, 1, 1, 256, 0.5
Resnet50,CONV3_2_1,256,802825,6.32897e+08,31.9996,50.5606,5.77324e+07,3002.72,32,256.003,512,9,1026,6,1,1,200704,32768,4.05913e+07,25690112,2816.18,56.5248,4,126.019,25690112, 25657600, 25657600, 200704, 1.00127, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 100352, 100352, 1, 8, 16, 8, 1, 1, 1, 1, 1, 1, 256, 1
Resnet50,CONV3_2_2,256,1118245,1.2624e+09,89.1399,70.6117,5.77324e+07,3002.72,32,410.321,2304,9,4610,54,1,1,100352,147456,7.89612e+07,99680256,2816.18,56.5248,4,126.019,99680256, 35357952, 35357952, 100352, 2.81918, 99680256, 146313, 146313, 147456, 681.281, 99680256, 99680256, 86528, 86528, 1, 12, 72, 12, 1, 1, 1, 1, 1, 1, 128, 3.02362
Resnet50,CONV3_2_3,256,1605637,1.25674e+09,31.9999,25.4627,5.77324e+07,3002.72,32,127,256,9,514,6,1,1,100352,65536,4.08838e+07,51380224,2816.18,56.5248,4,126.019,51380224, 50913920, 50913920, 100352, 1.00916, 51380224, 65025, 65025, 65536, 790.161, 51380224, 51380224, 401408, 401408, 1, 4, 8, 4, 1, 1, 1, 1, 1, 1, 128, 1.00787
Resnet50,CONV3_1_Residual,256,18825,2.7002e+07,21.3231,789.688,5.77324e+07,3002.72,32,384.163,512,9,1536,6,1,1,401408,512,1.48659e+07,401408,2816.18,56.5248,4,126.019,401408, 401408, 401408, 401408, 1, 401408, 200960, 200960, 512, 1.99745, 401408, 401408, 401408, 401408, 1, 8, 16, 12, 8, 8, 8, 1, 1, 1, 256, 0.5
