Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
UNet,CONV1_1,256,20793601,2.64042e+09,9,3.40855,5.77324e+07,3002.72,32,3.01053,18,9,38,54,1,1,327184,576,7.08761e+07,187142400,2816.18,56.5248,4,126.019,187142400, 62599113, 62599113, 327184, 2.98954, 187142400, 576, 576, 576, 324900, 187142400, 187142400, 20793600, 20793600, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3
UNet,CONV1_2,256,124323859,1.44779e+11,95.6631,0.660752,5.77324e+07,3002.72,32,189.666,1152,9,2306,54,1,1,20793600,36864,8.21472e+07,11893211136,2816.18,56.5248,4,126.019,11893211136, 3916165248, 3916165248, 20793600, 3.03695, 11893211136, 36297, 36297, 36864, 327664, 11893211136, 11893211136, 20647936, 20647936, 1, 6, 36, 6, 1, 1, 1, 1, 1, 1, 64, 3.04762
UNet,CONV2_1,256,61507603,7.1415e+10,95.3239,1.33479,5.77324e+07,3002.72,32,190.34,1152,9,2306,54,1,1,5161984,73728,8.20997e+07,5863145472,2816.18,56.5248,4,126.019,5863145472, 1937416896, 1937416896, 5161984, 3.02627, 5863145472, 72585, 72585, 73728, 80776.3, 5863145472, 5863145472, 10179072, 10179072, 1, 6, 36, 6, 1, 1, 1, 1, 1, 1, 64, 3.04762
UNet,CONV2_2,256,121282597,1.41202e+11,95.3191,0.675055,5.77324e+07,3002.72,32,383.722,2304,9,4610,54,1,1,10179072,147456,8.18724e+07,11560550400,2816.18,56.5248,4,126.019,11560550400, 3850576128, 3850576128, 10179072, 3.00229, 11560550400, 146313, 146313, 147456, 79012.5, 11560550400, 11560550400, 10035200, 10035200, 1, 12, 72, 12, 1, 1, 1, 1, 1, 1, 128, 3.02362
UNet,CONV3_1,256,59351077,6.88115e+10,94.6285,1.37519,5.77324e+07,3002.72,32,386.522,2304,9,4610,54,1,1,2508800,294912,8.16187e+07,5616304128,2816.18,56.5248,4,126.019,5616304128, 1884104064, 1884104064, 2508800, 2.98089, 5616304128, 292617, 292617, 294912, 19193.4, 5616304128, 5616304128, 4875264, 4875264, 1, 12, 72, 12, 1, 1, 1, 1, 1, 1, 128, 3.02362
UNet,CONV3_2,256,115310665,1.34126e+11,94.6086,0.70537,5.77324e+07,3002.72,32,779.295,4608,9,9218,54,1,1,4875264,589824,8.13367e+07,10909384704,2816.18,56.5248,4,126.019,10909384704, 3689351424, 3689351424, 4875264, 2.95699, 10909384704, 589824, 589824, 589824, 18496, 10909384704, 10909384704, 4734976, 4734976, 1, 24, 144, 24, 1, 1, 1, 1, 1, 1, 256, 3
UNet,CONV4_1,256,55148617,6.36628e+10,93.1763,1.46359,5.77324e+07,3002.72,32,791.274,4608,9,9218,54,1,1,1183744,1179648,8.07151e+07,5138546688,2816.18,56.5248,4,126.019,5138546688, 1763576064, 1763576064, 1183744, 2.91371, 5138546688, 1179648, 1179648, 1179648, 4356, 5138546688, 5138546688, 2230272, 2230272, 1, 24, 144, 24, 1, 1, 1, 1, 1, 1, 256, 3
UNet,CONV4_2,256,452984905,3.24733e+11,21.3333,0.0656951,5.77324e+07,3002.72,32,3456,4608,9,9218,54,1,1,2230272,2359296,2.97589e+07,9663676416,2816.18,56.5248,4,126.019,9663676416, 9662499072, 9662499072, 2230272, 1.00012, 9663676416, 4833017856, 4833017856, 2359296, 1.99951, 9663676416, 9663676416, 2097152, 4194304, 1, 72, 144, 108, 1, 1, 1, 1, 1, 1, 256, 0.5
UNet,CONV5_1,256,199065673,1.42759e+11,21.3333,0.149436,5.77324e+07,3002.72,32,3456,4608,9,9218,54,1,1,524288,4718592,2.97476e+07,4246732800,2816.18,56.5248,4,126.019,4246732800, 4244375808, 4244375808, 524288, 1.00056, 4246732800, 2125725696, 2125725696, 4718592, 1.99778, 4246732800, 4246732800, 921600, 1843200, 1, 72, 144, 108, 1, 1, 1, 1, 1, 1, 256, 0.5
UNet,CONV5_2,256,404619337,2.82666e+11,18.2857,0.0646902,5.77324e+07,3002.72,32,4032,4608,9,9218,54,1,1,921600,9437184,2.61749e+07,7398752256,2816.18,56.5248,4,126.019,7398752256, 7396395264, 7396395264, 921600, 1.00032, 7398752256, 5551423488, 5551423488, 9437184, 1.33277, 7398752256, 7398752256, 802816, 3211264, 1, 72, 144, 126, 1, 1, 1, 1, 1, 1, 256, 0.5
UNet,TRCONV1,256,83607585,5.84347e+10,18.2857,0.312925,5.77324e+07,3002.72,32,1792,2048,9,4098,24,1,1,802816,2097152,2.61629e+07,1528823808,2816.18,56.5248,4,126.019,1528823808, 1528300544, 1528300544, 802816, 1.00034, 1528823808, 1147142144, 1147142144, 2097152, 1.33272, 1528823808, 1528823808, 373248, 1492992, 1, 32, 64, 56, 1, 1, 1, 1, 1, 1, 256, 0.5
UNet,CONV4_3,256,752468041,5.25481e+11,18.2857,0.034798,5.77324e+07,3002.72,32,4032,4608,9,9218,54,1,1,3211264,4718592,2.61844e+07,13759414272,2816.18,56.5248,4,126.019,13759414272, 13758236928, 13758236928, 3211264, 1.00009, 13759414272, 10320740352, 10320740352, 4718592, 1.33318, 13759414272, 13759414272, 1492992, 5971968, 1, 72, 144, 126, 1, 1, 1, 1, 1, 1, 256, 0.5
UNet,CONV4_4,256,299040841,2.14388e+11,21.3333,0.099508,5.77324e+07,3002.72,32,3456,4608,9,9218,54,1,1,1492992,2359296,2.9757e+07,6379536384,2816.18,56.5248,4,126.019,6379536384, 6378359040, 6378359040, 1492992, 1.00018, 6379536384, 3190947840, 3190947840, 2359296, 1.99926, 6379536384, 6379536384, 1384448, 2768896, 1, 72, 144, 108, 1, 1, 1, 1, 1, 1, 256, 0.5
UNet,TRCONV2,256,127844385,9.16922e+10,21.3333,0.232662,5.77324e+07,3002.72,32,1536,2048,9,4098,24,1,1,1384448,1048576,2.97446e+07,2727346176,2816.18,56.5248,4,126.019,2727346176, 2726822912, 2726822912, 1384448, 1.00019, 2727346176, 1364197376, 1364197376, 1048576, 1.99923, 2727346176, 2727346176, 1331712, 2663424, 1, 32, 64, 48, 1, 1, 1, 1, 1, 1, 256, 0.5
UNet,CONV3_3,256,575299657,4.12432e+11,21.3333,0.0517257,5.77324e+07,3002.72,32,3456,4608,9,9218,54,1,1,5537792,1179648,2.97578e+07,12273057792,2816.18,56.5248,4,126.019,12273057792, 12272470272, 12272470272, 5537792, 1.00005, 12273057792, 6137118720, 6137118720, 1179648, 1.99981, 12273057792, 12273057792, 2663424, 5326848, 1, 72, 144, 108, 1, 1, 1, 1, 1, 1, 256, 0.5
UNet,CONV3_4,256,62668873,7.27123e+10,94.1175,1.29438,5.77324e+07,3002.72,32,783.361,4608,9,9218,54,1,1,2663424,589824,8.11175e+07,5898240000,2816.18,56.5248,4,126.019,5898240000, 2004814080, 2004814080, 2663424, 2.94204, 5898240000, 589824, 589824, 589824, 10000, 5898240000, 5898240000, 2560000, 2560000, 1, 24, 144, 24, 1, 1, 1, 1, 1, 1, 256, 3
UNet,TRCONV3,256,20275233,1.97709e+10,63.3599,3.2047,5.77324e+07,3002.72,32,517.173,2048,9,4098,24,1,1,2560000,131072,6.49761e+07,1284636672,2816.18,56.5248,4,126.019,1284636672, 648676352, 648676352, 2560000, 1.9804, 1284636672, 131072, 131072, 131072, 9801, 1284636672, 1284636672, 1254528, 1254528, 1, 16, 64, 16, 1, 1, 1, 1, 1, 1, 256, 2
UNet,CONV2_3,256,121651273,1.41901e+11,95.0399,0.669763,5.77324e+07,3002.72,32,775.758,4608,9,9218,54,1,1,10240000,294912,8.14775e+07,11561730048,2816.18,56.5248,4,126.019,11561730048, 3892545792, 3892545792, 10240000, 2.97022, 11561730048, 294912, 294912, 294912, 39204, 11561730048, 11561730048, 5018112, 5018112, 1, 24, 144, 24, 1, 1, 1, 1, 1, 1, 256, 3
UNet,CONV2_4,256,59609125,6.9296e+10,95.0302,1.37137,5.77324e+07,3002.72,32,384.888,2304,9,4610,54,1,1,5018112,147456,8.1746e+07,5664669696,2816.18,56.5248,4,126.019,5664669696, 1892443392, 1892443392, 5018112, 2.99331, 5664669696, 146313, 146313, 147456, 38716.1, 5664669696, 5664669696, 4917248, 4917248, 1, 12, 72, 12, 1, 1, 1, 1, 1, 1, 128, 3.02362
UNet,TRCONV4,256,19568657,1.90896e+10,63.6734,3.3355,5.77324e+07,3002.72,32,255.303,1024,9,2050,24,1,1,4917248,32768,6.52713e+07,1246003200,2816.18,56.5248,4,126.019,1246003200, 621272320, 621272320, 4917248, 2.00557, 1246003200, 32516, 32516, 32768, 38319.7, 1246003200, 1246003200, 2433600, 2433600, 1, 8, 32, 8, 1, 1, 1, 1, 1, 1, 128, 2.01575
UNet,CONV1_3,256,117411877,1.36996e+11,95.5102,0.697174,5.77324e+07,3002.72,32,382.954,2304,9,4610,54,1,1,19668992,73728,8.18565e+07,11214028800,2816.18,56.5248,4,126.019,11214028800, 3727753920, 3727753920, 19668992, 3.00825, 11214028800, 73161, 73161, 73728, 153279, 11214028800, 11214028800, 9734400, 9734400, 1, 12, 72, 12, 1, 1, 1, 1, 1, 1, 128, 3.02362
UNet,CONV1_4,256,58106899,6.76128e+10,95.5077,1.41257,5.77324e+07,3002.72,32,189.974,1152,9,2306,54,1,1,9734400,36864,8.20799e+07,5549654016,2816.18,56.5248,4,126.019,5549654016, 1830331008, 1830331008, 9734400, 3.03205, 5549654016, 36297, 36297, 36864, 152896, 5549654016, 5549654016, 9634816, 9634816, 1, 6, 36, 6, 1, 1, 1, 1, 1, 1, 64, 3.04762
UNet,CONV1_5,256,602179,6.32144e+08,31.9998,50.6211,5.77324e+07,3002.72,32,63.0002,128,9,258,6,1,1,9634816,128,3.0483e+07,19269632,2816.18,56.5248,4,126.019,19269632, 18968482, 18968482, 9634816, 1.01588, 19269632, 127, 127, 128, 151729, 19269632, 19269632, 301088, 301088, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 64, 1.01587
