Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
ResNeXt50,CONV1,256,802817,6.01236e+07,3,49.8971,4.39674e+08,6004.41,1024,2,6,9,14,6,1,1,150528,192,4.00583e+07,2408448,2816.18,56.5248,4,3127.71,2408448, 1605507, 1605507, 150528, 1.50012, 2408448, 129, 129, 192, 18670.1, 2408448, 2408448, 3211264, 802816, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1.5
ResNeXt50,CONV2_1_1,256,401409,6.30182e+08,63.9998,101.558,4.39674e+08,6004.41,1024,63.0002,128,9,258,6,1,1,200704,8192,4.07662e+07,25690112,2816.18,56.5248,4,3127.71,25690112, 25280704, 25280704, 200704, 1.01619, 25690112, 8065, 8065, 8192, 3185.38, 25690112, 25690112, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 64, 1.01587
ResNeXt50,CONV2_1_2,256,380193,6.33381e+09,1130.96,178.559,4.39674e+08,6004.41,1024,395.209,2304,9,4862,54,1,1,12845056,147456,6.78867e+07,429981696,2816.18,56.5248,4,3127.71,429981696, 147364713, 147364713, 12845056, 2.91781, 429981696, 146313, 146313, 147456, 2938.78, 429981696, 429981696, 47775744, 47402496, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 128, 3.02362
ResNeXt50,CONV2_1_3,256,802817,2.51519e+09,128,50.8907,4.39674e+08,6004.41,1024,127,256,9,514,6,1,1,401408,32768,4.08559e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 101925248, 101925248, 401408, 1.00819, 102760448, 32513, 32513, 32768, 3160.6, 102760448, 102760448, 802816, 802816, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 128, 1.00787
ResNeXt50,CONV2_2_1,256,401409,2.52992e+09,255.999,101.189,4.39674e+08,6004.41,1024,256.001,512,9,1026,6,1,1,802816,32768,4.0618e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102727936, 102727936, 802816, 1.00032, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
ResNeXt50,CONV2_2_2,256,380193,6.33381e+09,1130.96,178.559,4.39674e+08,6004.41,1024,395.209,2304,9,4862,54,1,1,12845056,147456,6.78867e+07,429981696,2816.18,56.5248,4,3127.71,429981696, 147364713, 147364713, 12845056, 2.91781, 429981696, 146313, 146313, 147456, 2938.78, 429981696, 429981696, 47775744, 47402496, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 128, 3.02362
ResNeXt50,CONV2_2_3,256,802817,2.51519e+09,128,50.8907,4.39674e+08,6004.41,1024,127,256,9,514,6,1,1,401408,32768,4.08559e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 101925248, 101925248, 401408, 1.00819, 102760448, 32513, 32513, 32768, 3160.6, 102760448, 102760448, 802816, 802816, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 128, 1.00787
ResNeXt50,CONV2_3_1,256,401409,2.52992e+09,255.999,101.189,4.39674e+08,6004.41,1024,256.001,512,9,1026,6,1,1,802816,32768,4.0618e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102727936, 102727936, 802816, 1.00032, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
ResNeXt50,CONV2_3_2,256,380193,6.33381e+09,1130.96,178.559,4.39674e+08,6004.41,1024,395.209,2304,9,4862,54,1,1,12845056,147456,6.78867e+07,429981696,2816.18,56.5248,4,3127.71,429981696, 147364713, 147364713, 12845056, 2.91781, 429981696, 146313, 146313, 147456, 2938.78, 429981696, 429981696, 47775744, 47402496, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 128, 3.02362
ResNeXt50,CONV2_3_3,256,802817,2.51519e+09,128,50.8907,4.39674e+08,6004.41,1024,127,256,9,514,6,1,1,401408,32768,4.08559e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 101925248, 101925248, 401408, 1.00819, 102760448, 32513, 32513, 32768, 3160.6, 102760448, 102760448, 802816, 802816, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 128, 1.00787
ResNeXt50,CONV3_1_1,256,200705,1.27254e+09,255.999,201.171,4.39674e+08,6004.41,1024,256.001,512,9,1026,6,1,1,802816,65536,4.0376e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 51314944, 51314944, 802816, 1.00127, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 802816, 200704, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
ResNeXt50,CONV3_1_2,256,186433,5.91215e+09,2138.68,361.744,4.39674e+08,6004.41,1024,827.503,4608,9,9728,54,1,1,6422528,589824,6.7441e+07,398721024,2816.18,56.5248,4,3127.71,398721024, 142614528, 142614528, 6422528, 2.7958, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 44302336, 44302336, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 256, 3
ResNeXt50,CONV3_1_3,256,401409,2.52145e+09,255.999,101.529,4.39674e+08,6004.41,1024,256.001,512,9,1026,6,1,1,200704,131072,4.07546e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102629632, 102629632, 200704, 1.00127, 102760448, 131072, 131072, 131072, 784, 102760448, 102760448, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
ResNeXt50,CONV3_2_1,256,200705,1.26241e+09,255.999,202.785,4.39674e+08,6004.41,1024,256.001,512,9,1026,6,1,1,200704,65536,4.07e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 51314944, 51314944, 200704, 1.00127, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
ResNeXt50,CONV3_2_2,256,186433,5.91215e+09,2138.68,361.744,4.39674e+08,6004.41,1024,827.503,4608,9,9728,54,1,1,6422528,589824,6.7441e+07,398721024,2816.18,56.5248,4,3127.71,398721024, 142614528, 142614528, 6422528, 2.7958, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 44302336, 44302336, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 256, 3
ResNeXt50,CONV3_2_3,256,401409,2.52145e+09,255.999,101.529,4.39674e+08,6004.41,1024,256.001,512,9,1026,6,1,1,200704,131072,4.07546e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102629632, 102629632, 200704, 1.00127, 102760448, 131072, 131072, 131072, 784, 102760448, 102760448, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
ResNeXt50,CONV3_3_1,256,200705,1.26241e+09,255.999,202.785,4.39674e+08,6004.41,1024,256.001,512,9,1026,6,1,1,200704,65536,4.07e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 51314944, 51314944, 200704, 1.00127, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
ResNeXt50,CONV3_3_2,256,186433,5.91215e+09,2138.68,361.744,4.39674e+08,6004.41,1024,827.503,4608,9,9728,54,1,1,6422528,589824,6.7441e+07,398721024,2816.18,56.5248,4,3127.71,398721024, 142614528, 142614528, 6422528, 2.7958, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 44302336, 44302336, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 256, 3
ResNeXt50,CONV3_3_3,256,401409,2.52145e+09,255.999,101.529,4.39674e+08,6004.41,1024,256.001,512,9,1026,6,1,1,200704,131072,4.07546e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102629632, 102629632, 200704, 1.00127, 102760448, 131072, 131072, 131072, 784, 102760448, 102760448, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
ResNeXt50,CONV3_4_1,256,200705,1.26241e+09,255.999,202.785,4.39674e+08,6004.41,1024,256.001,512,9,1026,6,1,1,200704,65536,4.07e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 51314944, 51314944, 200704, 1.00127, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
ResNeXt50,CONV3_4_2,256,186433,5.91215e+09,2138.68,361.744,4.39674e+08,6004.41,1024,827.503,4608,9,9728,54,1,1,6422528,589824,6.7441e+07,398721024,2816.18,56.5248,4,3127.71,398721024, 142614528, 142614528, 6422528, 2.7958, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 44302336, 44302336, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 256, 3
ResNeXt50,CONV3_4_3,256,401409,2.52145e+09,255.999,101.529,4.39674e+08,6004.41,1024,256.001,512,9,1026,6,1,1,200704,131072,4.07546e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102629632, 102629632, 200704, 1.00127, 102760448, 131072, 131072, 131072, 784, 102760448, 102760448, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 1
ResNeXt50,CONV4_1_1,256,200705,1.74031e+09,255.999,147.1,4.39674e+08,6004.41,1024,384.001,512,9,1026,6,1,1,401408,262144,2.95236e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 51249408, 51249408, 401408, 1.00255, 51380224, 25821184, 25821184, 262144, 1.98985, 51380224, 51380224, 401408, 200704, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 0.5
ResNeXt50,CONV4_1_2,256,589889,1.21413e+10,575.937,47.4361,4.39674e+08,6004.41,1024,3456.5,4608,9,9728,54,1,1,3211264,2359296,2.7982e+07,339738624,2816.18,56.5248,4,3127.71,339738624, 338632704, 338632704, 3211264, 1.00327, 339738624, 171048960, 171048960, 2359296, 1.98621, 339738624, 339738624, 37748736, 37748736, 1, 3, 5, 4, 1, 1, 1, 1, 1, 1, 256, 0.5
ResNeXt50,CONV4_1_3,256,401409,3.4688e+09,255.999,73.8006,4.39674e+08,6004.41,1024,384.001,512,9,1026,6,1,1,100352,524288,2.96242e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102498560, 102498560, 100352, 1.00256, 102760448, 51642368, 51642368, 524288, 1.98985, 102760448, 102760448, 200704, 401408, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 0.5
ResNeXt50,CONV4_2_1,256,401409,3.9417e+09,255.999,64.9465,4.39674e+08,6004.41,1024,448.001,512,9,1026,6,1,1,200704,524288,2.60701e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102629632, 102629632, 200704, 1.00127, 102760448, 77201408, 77201408, 524288, 1.33107, 102760448, 102760448, 100352, 401408, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 0.5
ResNeXt50,CONV4_2_2,256,589889,1.21413e+10,575.937,47.4361,4.39674e+08,6004.41,1024,3456.5,4608,9,9728,54,1,1,3211264,2359296,2.7982e+07,339738624,2816.18,56.5248,4,3127.71,339738624, 338632704, 338632704, 3211264, 1.00327, 339738624, 171048960, 171048960, 2359296, 1.98621, 339738624, 339738624, 37748736, 37748736, 1, 3, 5, 4, 1, 1, 1, 1, 1, 1, 256, 0.5
