Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
ResNeXt50,CONV1,256,14337,3.58697e+07,166.488,4641.48,4.39674e+08,6004.41,1024,83.0664,130,9,862,28,1,1,150528,192,6.65448e+07,2386944,2816.18,56.5248,4,3127.71,2386944, 1185567, 1185567, 150528, 2.01334, 2386944, 192, 192, 192, 12432, 2386944, 2386944, 3211264, 795648, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 56, 2
ResNeXt50,CONV2_1_1,256,114689,3.43798e+08,223.998,651.539,4.39674e+08,6004.41,1024,111.972,116,9,688,28,1,1,200704,8192,7.47243e+07,25690112,2816.18,56.5248,4,3127.71,25690112, 12827104, 12827104, 200704, 2.0028, 25690112, 8192, 8192, 8192, 3136, 25690112, 25690112, 401408, 6422528, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 56, 2
ResNeXt50,CONV2_1_2,256,110593,2.40608e+09,3887.96,1615.89,4.43134e+08,6173.98,1024,649.48,2016,9,4896,216,1,1,12845056,147456,1.78706e+08,429981696,2816.18,226.099,4,3127.71,429981696, 71668356, 71668356, 12845056, 5.9996, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 47775744, 47775744, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 54, 6
ResNeXt50,CONV2_1_3,256,458753,4.02485e+09,224,55.6541,4.39674e+08,6004.41,1024,112.004,116,9,688,28,1,1,401408,32768,2.55315e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 51335904, 51335904, 401408, 2.00173, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 56, 2
ResNeXt50,CONV2_2_1,256,458753,2.01296e+09,224,111.279,4.39674e+08,6004.41,1024,112.02,116,9,688,28,1,1,802816,32768,5.10494e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 51349984, 51349984, 802816, 2.00118, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 401408, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 56, 2
ResNeXt50,CONV2_2_2,256,110593,2.93281e+09,3887.96,1325.68,4.43134e+08,6173.98,1024,649.48,2016,9,4896,216,1,1,12845056,147456,1.46611e+08,429981696,2816.18,226.099,4,3127.71,429981696, 71668356, 71668356, 12845056, 5.9996, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 47775744, 47775744, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 54, 6
ResNeXt50,CONV2_2_3,256,458753,4.02485e+09,224,55.6541,4.39674e+08,6004.41,1024,112.004,116,9,688,28,1,1,401408,32768,2.55315e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 51335904, 51335904, 401408, 2.00173, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 56, 2
ResNeXt50,CONV2_3_1,256,458753,2.01296e+09,224,111.279,4.39674e+08,6004.41,1024,112.02,116,9,688,28,1,1,802816,32768,5.10494e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 51349984, 51349984, 802816, 2.00118, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 401408, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 56, 2
ResNeXt50,CONV2_3_2,256,110593,2.93281e+09,3887.96,1325.68,4.43134e+08,6173.98,1024,649.48,2016,9,4896,216,1,1,12845056,147456,1.46611e+08,429981696,2816.18,226.099,4,3127.71,429981696, 71668356, 71668356, 12845056, 5.9996, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 47775744, 47775744, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 54, 6
ResNeXt50,CONV2_3_3,256,458753,4.02485e+09,224,55.6541,4.39674e+08,6004.41,1024,112.004,116,9,688,28,1,1,401408,32768,2.55315e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 51335904, 51335904, 401408, 2.00173, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 56, 2
ResNeXt50,CONV3_1_1,256,458753,1.36658e+09,112,81.9562,4.39674e+08,6004.41,1024,56.1955,62,9,352,28,1,1,802816,65536,3.75977e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 25708144, 25708144, 802816, 1.9986, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 802816, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 29, 2
ResNeXt50,CONV3_1_2,256,212992,2.3436e+09,1872,798.771,4.43134e+08,6173.98,1024,315.149,1008,9,2432,216,1,1,6422528,589824,1.70132e+08,398721024,2816.18,226.099,4,3127.71,398721024, 66521316, 66521316, 6422528, 5.99388, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 44302336, 44302336, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 26, 6
ResNeXt50,CONV3_1_3,256,917505,3.82691e+09,112,29.2664,4.39674e+08,6004.41,1024,56.0548,60,9,352,28,1,1,200704,131072,2.6852e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 51287152, 51287152, 200704, 2.00363, 102760448, 131072, 131072, 131072, 784, 102760448, 102760448, 401408, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 28, 2
ResNeXt50,CONV3_2_1,256,458753,1.35544e+09,112,82.6298,4.39674e+08,6004.41,1024,56.0548,60,9,352,28,1,1,200704,65536,3.79066e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 25643632, 25643632, 200704, 2.00363, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 28, 2
ResNeXt50,CONV3_2_2,256,212992,2.3435e+09,1872,798.804,4.43134e+08,6173.98,1024,315.149,1008,9,2432,216,1,1,6422528,589824,1.70139e+08,398721024,2816.18,226.099,4,3127.71,398721024, 66521316, 66521316, 6422528, 5.99388, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 44302336, 44302336, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 26, 6
ResNeXt50,CONV3_2_3,256,917505,3.82691e+09,112,29.2664,4.39674e+08,6004.41,1024,56.0548,60,9,352,28,1,1,200704,131072,2.6852e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 51287152, 51287152, 200704, 2.00363, 102760448, 131072, 131072, 131072, 784, 102760448, 102760448, 401408, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 28, 2
ResNeXt50,CONV3_3_1,256,458753,1.35544e+09,112,82.6298,4.39674e+08,6004.41,1024,56.0548,60,9,352,28,1,1,200704,65536,3.79066e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 25643632, 25643632, 200704, 2.00363, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 28, 2
ResNeXt50,CONV3_3_2,256,212992,2.3435e+09,1872,798.804,4.43134e+08,6173.98,1024,315.149,1008,9,2432,216,1,1,6422528,589824,1.70139e+08,398721024,2816.18,226.099,4,3127.71,398721024, 66521316, 66521316, 6422528, 5.99388, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 44302336, 44302336, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 26, 6
ResNeXt50,CONV3_3_3,256,917505,3.82691e+09,112,29.2664,4.39674e+08,6004.41,1024,56.0548,60,9,352,28,1,1,200704,131072,2.6852e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 51287152, 51287152, 200704, 2.00363, 102760448, 131072, 131072, 131072, 784, 102760448, 102760448, 401408, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 28, 2
