Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
ResNeXt50,CONV1,256,21505,1.02129e+08,111.995,1096.61,4.39674e+08,6004.41,1024,113.003,114,9,450,6,1,1,150528,192,2.35825e+07,2408448,2816.18,56.5248,4,3127.71,2408448, 2422832, 2422832, 150528, 0.994063, 2408448, 192, 192, 192, 12544, 2408448, 2408448, 3211264, 2408448, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 113, 0.99115
ResNeXt50,CONV2_1_1,256,458753,1.05459e+09,55.9999,53.1009,4.39674e+08,6004.41,1024,56,57,9,226,6,1,1,200704,8192,2.43602e+07,25690112,2816.18,56.5248,4,3127.71,25690112, 25224376, 25224376, 200704, 1.01846, 25690112, 8192, 8192, 8192, 3136, 25690112, 25690112, 401408, 25690112, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 56, 1.01818
ResNeXt50,CONV2_1_2,256,884737,4.56243e+09,485.999,106.522,4.39674e+08,6004.41,1024,57.191,495,9,1098,54,1,1,12845056,147456,9.42439e+07,429981696,2816.18,56.5248,4,3127.71,429981696, 50447201, 50447201, 12845056, 8.5234, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 47775744, 47775744, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 54, 8.83636
ResNeXt50,CONV2_1_3,256,1835009,4.21188e+09,56,13.2957,4.39674e+08,6004.41,1024,56,57,9,226,6,1,1,401408,32768,2.43978e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 100911416, 100911416, 401408, 1.01832, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 102760448, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 56, 1.01818
ResNeXt50,CONV2_2_1,256,1835009,4.21876e+09,56,13.274,4.39674e+08,6004.41,1024,56,57,9,226,6,1,1,802816,32768,2.4358e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 100918456, 100918456, 802816, 1.01825, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 401408, 102760448, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 56, 1.01818
ResNeXt50,CONV2_2_2,256,884737,4.56243e+09,485.999,106.522,4.39674e+08,6004.41,1024,57.191,495,9,1098,54,1,1,12845056,147456,9.42439e+07,429981696,2816.18,56.5248,4,3127.71,429981696, 50447201, 50447201, 12845056, 8.5234, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 47775744, 47775744, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 54, 8.83636
ResNeXt50,CONV2_2_3,256,1835009,4.21188e+09,56,13.2957,4.39674e+08,6004.41,1024,56,57,9,226,6,1,1,401408,32768,2.43978e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 100911416, 100911416, 401408, 1.01832, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 102760448, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 56, 1.01818
ResNeXt50,CONV2_3_1,256,1835009,4.21876e+09,56,13.274,4.39674e+08,6004.41,1024,56,57,9,226,6,1,1,802816,32768,2.4358e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 100918456, 100918456, 802816, 1.01825, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 401408, 102760448, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 56, 1.01818
ResNeXt50,CONV2_3_2,256,884737,4.56243e+09,485.999,106.522,4.39674e+08,6004.41,1024,57.191,495,9,1098,54,1,1,12845056,147456,9.42439e+07,429981696,2816.18,56.5248,4,3127.71,429981696, 50447201, 50447201, 12845056, 8.5234, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 47775744, 47775744, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 54, 8.83636
ResNeXt50,CONV2_3_3,256,1835009,4.21188e+09,56,13.2957,4.39674e+08,6004.41,1024,56,57,9,226,6,1,1,401408,32768,2.43978e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 100911416, 100911416, 401408, 1.01832, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 102760448, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 56, 1.01818
ResNeXt50,CONV3_1_1,256,1835009,2.16828e+09,28,12.9135,4.39674e+08,6004.41,1024,29.0354,30,9,114,6,1,1,802816,65536,2.36963e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 53207836, 53207836, 802816, 0.965651, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 802816, 51380224, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 29, 0.965517
ResNeXt50,CONV3_1_2,256,1703937,4.20473e+09,234,55.6516,4.39674e+08,6004.41,1024,29.4148,243,9,538,54,1,1,6422528,589824,9.48269e+07,398721024,2816.18,56.5248,4,3127.71,398721024, 49527225, 49527225, 6422528, 8.05054, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 44302336, 44302336, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 26, 8.66667
ResNeXt50,CONV3_1_3,256,3670017,4.17831e+09,28,6.70128,4.39674e+08,6004.41,1024,28,29,9,114,6,1,1,200704,131072,2.45938e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 99076636, 99076636, 200704, 1.03718, 102760448, 131072, 131072, 131072, 784, 102760448, 102760448, 401408, 102760448, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 28, 1.03704
