Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
ResNeXt50,CONV1,256,43009,8.27164e+07,55.4987,670.952,4.39674e+08,6004.41,1024,55.503,64,9,514,6,1,1,150528,192,2.8857e+07,2386944,2816.18,56.5248,4,3127.71,2386944, 2378880, 2378880, 150528, 1.00339, 2386944, 192, 192, 192, 12432, 2386944, 2386944, 3211264, 2386944, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 112, 1
ResNeXt50,CONV2_1_1,256,229377,8.85611e+08,112,126.466,4.39674e+08,6004.41,1024,112.035,128,9,1026,6,1,1,200704,8192,2.90084e+07,25690112,2816.18,56.5248,4,3127.71,25690112, 25657600, 25657600, 200704, 1.00127, 25690112, 8192, 8192, 8192, 3136, 25690112, 25690112, 401408, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
ResNeXt50,CONV2_1_2,256,458753,3.63829e+09,937.284,257.616,4.39674e+08,6004.41,1024,313.732,484,9,2450,54,1,1,12845056,147456,1.18182e+08,429981696,2816.18,56.5248,4,3127.71,429981696, 143753964, 143753964, 12845056, 2.99109, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 47775744, 47775744, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 216, 2.25
ResNeXt50,CONV2_1_3,256,917505,6.29496e+09,112,17.792,4.39674e+08,6004.41,1024,112.035,128,9,1026,6,1,1,401408,32768,1.63242e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102695168, 102695168, 401408, 1.00064, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 102760448, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
ResNeXt50,CONV2_2_1,256,917505,4.2519e+09,112,26.3411,4.39674e+08,6004.41,1024,112.036,128,9,1026,6,1,1,802816,32768,2.41681e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102727936, 102727936, 802816, 1.00032, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 401408, 102760448, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
ResNeXt50,CONV2_2_2,256,458753,4.22357e+09,937.284,221.917,4.39674e+08,6004.41,1024,313.732,484,9,2450,54,1,1,12845056,147456,1.01805e+08,429981696,2816.18,56.5248,4,3127.71,429981696, 143753964, 143753964, 12845056, 2.99109, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 47775744, 47775744, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 216, 2.25
ResNeXt50,CONV2_2_3,256,917505,6.29496e+09,112,17.792,4.39674e+08,6004.41,1024,112.035,128,9,1026,6,1,1,401408,32768,1.63242e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102695168, 102695168, 401408, 1.00064, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 102760448, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
ResNeXt50,CONV2_3_1,256,917505,4.2519e+09,112,26.3411,4.39674e+08,6004.41,1024,112.036,128,9,1026,6,1,1,802816,32768,2.41681e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102727936, 102727936, 802816, 1.00032, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 401408, 102760448, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
ResNeXt50,CONV2_3_2,256,458753,4.22357e+09,937.284,221.917,4.39674e+08,6004.41,1024,313.732,484,9,2450,54,1,1,12845056,147456,1.01805e+08,429981696,2816.18,56.5248,4,3127.71,429981696, 143753964, 143753964, 12845056, 2.99109, 429981696, 147456, 147456, 147456, 2916, 429981696, 429981696, 47775744, 47775744, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 216, 2.25
ResNeXt50,CONV2_3_3,256,917505,6.29496e+09,112,17.792,4.39674e+08,6004.41,1024,112.035,128,9,1026,6,1,1,401408,32768,1.63242e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 102695168, 102695168, 401408, 1.00064, 102760448, 32768, 32768, 32768, 3136, 102760448, 102760448, 802816, 102760448, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 1
ResNeXt50,CONV3_1_1,256,917505,2.52868e+09,55.9999,22.1459,4.39674e+08,6004.41,1024,56.3557,58,9,450,6,1,1,802816,65536,2.0319e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 51612784, 51612784, 802816, 0.995494, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 802816, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 116, 1
ResNeXt50,CONV3_1_2,256,524289,3.62446e+09,760.499,209.824,4.39674e+08,6004.41,1024,268.846,394,9,1994,54,1,1,6422528,589824,1.10008e+08,398721024,2816.18,56.5248,4,3127.71,398721024, 140318142, 140318142, 6422528, 2.84155, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 44302336, 44302336, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 208, 0.75
ResNeXt50,CONV3_1_3,256,1048577,6.32901e+09,97.9999,15.4842,4.39674e+08,6004.41,1024,112,112,9,898,6,1,1,200704,131072,1.62364e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 116281568, 116281568, 200704, 0.883721, 102760448, 131072, 131072, 131072, 784, 102760448, 102760448, 401408, 102760448, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
ResNeXt50,CONV3_2_1,256,524289,2.64916e+09,97.9998,36.9928,4.39674e+08,6004.41,1024,112,112,9,898,6,1,1,200704,65536,1.93949e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 58140896, 58140896, 200704, 0.883719, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 200704, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
ResNeXt50,CONV3_2_2,256,524289,3.63437e+09,760.499,209.252,4.39674e+08,6004.41,1024,268.846,394,9,1994,54,1,1,6422528,589824,1.09708e+08,398721024,2816.18,56.5248,4,3127.71,398721024, 140318142, 140318142, 6422528, 2.84155, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 44302336, 44302336, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 208, 0.75
ResNeXt50,CONV3_2_3,256,1048577,6.32901e+09,97.9999,15.4842,4.39674e+08,6004.41,1024,112,112,9,898,6,1,1,200704,131072,1.62364e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 116281568, 116281568, 200704, 0.883721, 102760448, 131072, 131072, 131072, 784, 102760448, 102760448, 401408, 102760448, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
ResNeXt50,CONV3_3_1,256,524289,2.64916e+09,97.9998,36.9928,4.39674e+08,6004.41,1024,112,112,9,898,6,1,1,200704,65536,1.93949e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 58140896, 58140896, 200704, 0.883719, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 200704, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
ResNeXt50,CONV3_3_2,256,524289,3.63437e+09,760.499,209.252,4.39674e+08,6004.41,1024,268.846,394,9,1994,54,1,1,6422528,589824,1.09708e+08,398721024,2816.18,56.5248,4,3127.71,398721024, 140318142, 140318142, 6422528, 2.84155, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 44302336, 44302336, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 208, 0.75
ResNeXt50,CONV3_3_3,256,1048577,6.32901e+09,97.9999,15.4842,4.39674e+08,6004.41,1024,112,112,9,898,6,1,1,200704,131072,1.62364e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 116281568, 116281568, 200704, 0.883721, 102760448, 131072, 131072, 131072, 784, 102760448, 102760448, 401408, 102760448, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
ResNeXt50,CONV3_4_1,256,524289,2.64916e+09,97.9998,36.9928,4.39674e+08,6004.41,1024,112,112,9,898,6,1,1,200704,65536,1.93949e+07,51380224,2816.18,56.5248,4,3127.71,51380224, 58140896, 58140896, 200704, 0.883719, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 200704, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
ResNeXt50,CONV3_4_2,256,524289,3.63437e+09,760.499,209.252,4.39674e+08,6004.41,1024,268.846,394,9,1994,54,1,1,6422528,589824,1.09708e+08,398721024,2816.18,56.5248,4,3127.71,398721024, 140318142, 140318142, 6422528, 2.84155, 398721024, 589824, 589824, 589824, 676, 398721024, 398721024, 44302336, 44302336, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 208, 0.75
ResNeXt50,CONV3_4_3,256,1048577,6.32901e+09,97.9999,15.4842,4.39674e+08,6004.41,1024,112,112,9,898,6,1,1,200704,131072,1.62364e+07,102760448,2816.18,56.5248,4,3127.71,102760448, 116281568, 116281568, 200704, 0.883721, 102760448, 131072, 131072, 131072, 784, 102760448, 102760448, 401408, 102760448, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
ResNeXt50,CONV4_1_1,256,2097153,2.80951e+09,28,9.96616,4.39674e+08,6004.41,1024,28.6238,30,9,226,6,1,1,401408,262144,2.09006e+07,58720256,2816.18,56.5248,4,3127.71,58720256, 59738168, 59738168, 401408, 0.98296, 58720256, 262144, 262144, 262144, 224, 58720256, 58720256, 401408, 58720256, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 60, 1
