Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
VGG16,CONV1,256,21410,2.95397e+08,3977.71,13465.6,4.40827e+08,6060.93,1024,668.912,2349,9,5038,66,1,1,150528,1728,2.88299e+08,85162752,2816.18,113.05,4,3127.71,85162752, 14250519, 14250519, 150528, 5.97612, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 3154176, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 74, 6
VGG16,CONV2,256,470978,7.04407e+09,3857.52,547.626,4.40827e+08,6060.93,1024,669.77,2349,9,5038,66,1,1,3211264,36864,2.5792e+08,1816805376,2816.18,113.05,4,3127.71,1816805376, 313989399, 313989399, 3211264, 5.7862, 1816805376, 38016, 38016, 36864, 47790.5, 1816805376, 1816805376, 3154176, 69391872, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 74, 6
VGG16,CONV3,256,309762,1.46929e+10,2879.98,196.012,4.40827e+08,6060.93,1024,497.242,2349,9,5038,66,1,1,802816,73728,6.0717e+07,892108800,2816.18,113.05,4,3127.71,892108800, 153942327, 153942327, 802816, 5.79508, 892108800, 76032, 76032, 73728, 11733.3, 892108800, 892108800, 1548800, 34073600, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 55, 6
VGG16,CONV4,256,605442,1.18685e+10,2946.97,248.302,4.40827e+08,6060.93,1024,497.306,2349,9,5038,66,1,1,1605632,147456,1.50332e+08,1784217600,2816.18,113.05,4,3127.71,1784217600, 300932919, 300932919, 1605632, 5.92895, 1784217600, 148608, 148608, 147456, 12006.2, 1784217600, 1784217600, 1548800, 66598400, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 55, 6
VGG16,CONV5,256,297217,1.42828e+10,2893.39,202.578,4.40827e+08,6060.93,1024,486.981,1512,9,3240,66,1,1,401408,294912,6.02098e+07,859963392,2816.18,113.05,4,3127.71,859963392, 144434610, 144434610, 401408, 5.954, 859963392, 297216, 297216, 294912, 2893.4, 859963392, 859963392, 746496, 32099328, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 54, 6
VGG16,CONV6,256,594433,1.14183e+10,2893.39,253.4,4.40827e+08,6060.93,1024,487.074,1512,9,3240,66,1,1,802816,589824,1.50629e+08,1719926784,2816.18,113.05,4,3127.71,1719926784, 288931122, 288931122, 802816, 5.95272, 1719926784, 594432, 594432, 589824, 2893.4, 1719926784, 1719926784, 746496, 64198656, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 54, 6
VGG16,CONV7,256,594433,1.68623e+10,2893.39,171.589,4.40827e+08,6060.93,1024,487.074,1512,9,3240,66,1,1,802816,589824,1.01998e+08,1719926784,2816.18,113.05,4,3127.71,1719926784, 288931122, 288931122, 802816, 5.95272, 1719926784, 594432, 594432, 589824, 2893.4, 1719926784, 1719926784, 746496, 64198656, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 54, 6
VGG16,CONV8,256,572416,1.36878e+10,1393.12,101.778,4.40827e+08,6060.93,1024,236.316,756,9,1616,66,1,1,200704,1179648,5.82595e+07,797442048,2816.18,113.05,4,3127.71,797442048, 134081982, 134081982, 200704, 5.94742, 797442048, 1188864, 1188864, 1179648, 670.76, 797442048, 797442048, 346112, 29765632, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 26, 6
VGG16,CONV9,256,1138176,1.06179e+10,1401.26,131.971,4.40827e+08,6060.93,1024,236.369,756,9,1616,66,1,1,401408,2359296,1.50206e+08,1594884096,2816.18,113.05,4,3127.71,1594884096, 266665662, 266665662, 401408, 5.98084, 1594884096, 2363904, 2363904, 2359296, 674.682, 1594884096, 1594884096, 346112, 59185152, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 26, 6
VGG16,CONV10,256,1138176,1.56655e+10,1401.26,89.4492,4.40827e+08,6060.93,1024,236.369,756,9,1616,66,1,1,401408,2359296,1.01809e+08,1594884096,2816.18,113.05,4,3127.71,1594884096, 266665662, 266665662, 401408, 5.98084, 1594884096, 2363904, 2363904, 2359296, 674.682, 1594884096, 1594884096, 346112, 59185152, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 26, 6
