Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg16,CONV1,256,42626,8.54306e+08,1997.91,2338.63,4.39674e+08,6004.41,1024,224.407,2007,9,4458,54,1,1,150528,1728,9.96865e+07,85162752,2816.18,56.5248,4,3127.71,85162752, 9549966, 9549966, 150528, 8.9176, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 9462528, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 222, 8.95964
vgg16,CONV2,256,909314,1.82404e+10,1998,109.537,4.39674e+08,6004.41,1024,225.019,2007,9,4458,54,1,1,3211264,36864,9.96033e+07,1816805376,2816.18,56.5248,4,3127.71,1816805376, 204562574, 204562574, 3211264, 8.88142, 1816805376, 36864, 36864, 36864, 49284, 1816805376, 1816805376, 3154176, 201867264, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 222, 8.95964
vgg16,CONV3,256,901121,8.9704e+09,989.999,110.363,4.39674e+08,6004.41,1024,113.068,999,9,2218,54,1,1,802816,73728,9.94503e+07,892108800,2816.18,56.5248,4,3127.71,892108800, 101801310, 101801310, 802816, 8.76323, 892108800, 73728, 73728, 73728, 12100, 892108800, 892108800, 1548800, 99123200, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 110, 8.91892
vgg16,CONV4,256,1802241,1.79416e+10,989.999,55.1791,4.39674e+08,6004.41,1024,113.084,999,9,2218,54,1,1,1605632,147456,9.9446e+07,1784217600,2816.18,56.5248,4,3127.71,1784217600, 203644254, 203644254, 1605632, 8.76144, 1784217600, 147456, 147456, 147456, 12100, 1784217600, 1784217600, 1548800, 198246400, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 110, 8.91892
vgg16,CONV5,256,1769473,8.69923e+09,486,55.867,4.39674e+08,6004.41,1024,57.1866,495,9,1098,54,1,1,401408,294912,9.88551e+07,859963392,2816.18,56.5248,4,3127.71,859963392, 100883686, 100883686, 401408, 8.52431, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 746496, 95551488, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 54, 8.83636
vgg16,CONV6,256,3538945,1.73992e+10,486,27.9323,4.39674e+08,6004.41,1024,57.1951,495,9,1098,54,1,1,802816,589824,9.88508e+07,1719926784,2816.18,56.5248,4,3127.71,1719926784, 201809126, 201809126, 802816, 8.52254, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 54, 8.83636
vgg16,CONV7,256,3538945,1.73992e+10,486,27.9323,4.39674e+08,6004.41,1024,57.1951,495,9,1098,54,1,1,802816,589824,9.88508e+07,1719926784,2816.18,56.5248,4,3127.71,1719926784, 201809126, 201809126, 802816, 8.52254, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 54, 8.83636
vgg16,CONV8,256,3407873,8.19664e+09,234,28.5483,4.39674e+08,6004.41,1024,29.4135,243,9,538,54,1,1,200704,1179648,9.72889e+07,797442048,2816.18,56.5248,4,3127.71,797442048, 99049194, 99049194, 200704, 8.05097, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 88604672, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 26, 8.66667
vgg16,CONV9,256,6815745,1.6394e+10,234,14.2735,4.39674e+08,6004.41,1024,29.4183,243,9,538,54,1,1,401408,2359296,9.72845e+07,1594884096,2816.18,56.5248,4,3127.71,1594884096, 198139626, 198139626, 401408, 8.04929, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 177209344, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 26, 8.66667
vgg16,CONV10,256,6815745,1.6394e+10,234,14.2735,4.39674e+08,6004.41,1024,29.4183,243,9,538,54,1,1,401408,2359296,9.72845e+07,1594884096,2816.18,56.5248,4,3127.71,1594884096, 198139626, 198139626, 401408, 8.04929, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 177209344, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 26, 8.66667
